Time,European Union - 27 countries (from 2020),Euro area - 19 countries  (2015-2022),Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Norway
2015-01-01,87.6,93.7,110.6,28.7,41.2,47.6,74.2,11.1,93.3,173.5,104.5,98.1,85.2,137.5,112,37.7,38,21.5,77.5,61.2,68.2,85.7,51.7,132.5,37.6,82.2,53.7,66,45.3,30.4
2015-04-01,86.9,92.9,108.9,27.9,40.4,46.3,72.4,11.0,87.2,173.0,103.8,98.3,83.2,138.1,114.0,37.2,37.6,21.1,79.2,59.2,66.0,86.7,51.4,130.8,37.2,81.3,53.8,67.4,45.0,30.4
2015-07-01,86.1,92.2,108.4,26.5,39.9,45.9,71.9,10.8,80.7,175.4,103.5,97.8,83.3,136.8,113.4,38.3,38.1,21.0,78.4,57.4,65.0,86.8,51.7,132.4,36.4,84.7,52.8,65.9,44.3,32.2
2015-10-01,85.1,91.1,105.6,25.9,39.5,44.6,71.2,10.8,74.0,179.6,102.5,97.0,82.8,134.8,111.6,38.3,42.4,21.1,75.7,55.0,63.8,85.6,51.1,131.0,37.7,83.4,51.6,68.8,44.5,33.1
2016-01-01,85.9,92.0,108.8,29.3,39.5,43.8,70.9,10.3,76.0,178.9,103.7,99.0,81.2,137.4,111.1,37.9,39.7,21.4,77.2,56.2,63.4,86.2,51.6,130.6,37.0,83.8,51.3,69.4,42.8,34.2
2016-04-01,85.8,91.9,109.0,29.1,38.9,43.9,70.2,10.0,73.6,182.7,103.6,99.7,80.0,137.8,109.2,40.6,39.7,21.1,75.6,55.6,62.3,85.2,53.4,133.0,36.7,82.5,52.6,66.9,43.7,36.6
2016-07-01,84.7,90.8,108.2,28.5,37.8,42.8,69.4,10.0,74.4,179.8,102.9,99.1,80.1,134.9,111.1,39.5,40.9,20.6,74.8,54.4,60.7,82.7,53.0,134.3,36.3,82.5,52.7,66.8,42.3,36.5
2016-10-01,84.0,90.0,105.5,29.1,36.2,41.7,68.3,10.2,72.7,183.1,102.0,98.1,79.3,134.2,106.9,41.7,39.8,19.6,74.6,53.1,60.9,83.4,54.1,131.2,37.8,79.4,52.1,68.6,42.9,37.0
2017-01-01,84.2,90.2,106.8,28.2,39.2,40.7,66.8,9.8,73.8,180.0,102.9,100.5,81.9,135.8,105.4,40.7,38.8,22.6,74.9,52.7,58.7,81.9,53.6,131.2,37.3,81.4,53.7,68.5,42.1,38.3
2017-04-01,84.0,90.1,105.4,27.8,38.6,40.5,66.1,9.6,72.7,178.9,102.6,101.2,77.4,136.8,104.6,41.4,41.3,22.0,74.3,50.6,57.9,81.8,53.0,132.6,37.4,81.1,52.1,67.7,41.6,37.3
2017-07-01,83.0,89.2,106.2,25.5,34.3,40.5,65.3,9.5,70.2,179.7,101.8,100.3,77.2,136.4,101.3,39.9,38.9,22.2,72.9,48.6,56.2,80.7,51.7,131.2,35.8,79.9,51.7,66.0,40.1,36.6
2017-10-01,81.5,87.5,102.5,25.1,33.8,40.2,64.0,9.4,65.3,182.1,101.2,98.8,76.2,133.7,96.5,40.3,39.1,21.8,72.0,45.6,56.0,79.1,50.4,126.0,35.3,74.9,51.4,66.6,41.6,37.4
2018-01-01,81.4,87.5,105.4,23.8,34.9,39.8,62.9,9.1,66.3,184.4,101.7,99.4,75.0,135.3,93.2,37.7,35.5,21.3,72.2,45.3,54.3,78.0,50.9,126.3,34.5,76.4,51.3,65.4,39.7,37.6
2018-04-01,80.8,87.1,104.6,23.3,34.3,39.3,61.9,8.9,66.0,184.6,101.1,99.4,74.8,135.7,102.5,39.2,34.4,21.2,72.3,44.5,53.2,77.3,50.1,125.4,34.0,73.7,52.3,65.2,39.7,36.6
2018-07-01,80.7,86.9,103.8,22.6,32.9,39.3,61.6,8.7,65.1,190.0,101.2,99.6,73.2,135.6,108.9,39.4,34.3,21.0,70.7,41.7,52.1,76.4,49.0,124.9,33.8,72.1,51.9,64.8,39.4,35.0
2018-10-01,79.5,85.6,100.1,22.1,31.7,38.5,60.8,8.5,61.4,189.0,99.8,98.5,72.8,134.2,100.7,38.3,33.3,20.9,68.8,41.4,51.6,74.6,48.2,121.1,34.4,71.0,49.3,65.4,39.9,38.8
2019-01-01,79.8,86.1,103.0,20.7,33.0,38.0,60.7,8.3,63.1,189.8,100.6,99.5,72.7,135.8,102.4,39.6,33.3,20.8,68.1,42.0,50.0,73.4,48.3,122.2,33.5,68.5,49.2,65.2,37.7,35.8
2019-04-01,79.6,85.9,102.0,20.2,32.1,39.5,60.1,9.7,61.6,187.6,100.6,99.2,73.8,136.9,105.3,38.5,35.3,20.5,66.8,41.4,50.0,72.4,47.2,119.4,33.5,68.1,48.6,67.3,36.7,35.0
2019-07-01,79.0,85.4,101.4,20.4,30.8,39.1,60.0,9.6,60.0,185.3,99.6,100.0,72.7,136.1,95.5,38.2,35.1,20.3,66.7,39.4,48.3,71.7,46.5,118.6,34.8,68.3,48.4,65.8,36.1,34.8
2019-10-01,77.4,83.7,97.6,20.1,29.6,38.3,58.7,9.0,55.9,183.2,97.7,98.2,70.9,133.9,92.3,37.9,35.6,22.3,65.0,39.3,47.7,71.0,45.2,116.1,35.0,66.0,48.0,65.3,35.8,39.8
