Time,European Union - 27 countries (from 2020),Belgium,Bulgaria,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Malta,Netherlands,Poland,Portugal,Romania,Slovenia,Finland,Sweden,Norway,United Kingdom,Montenegro,Türkiye,Germany: North Sea,Germany: Baltic Sea,Germany: Inland,Germany: unspecified maritime coastal area,Spain: North Atlantic,Spain: Mediterranean and South Atlantic,Spain: Ceuta,Spain: Melilla,France: Atlantic / North Sea,France: Mediterranean,France: Guadeloupe and Martinique,France: Réunion,Sweden: Baltic Sea,Sweden: North Sea,Sweden: unspecified maritime coastal area,United Kingdom: Great Britain and Northern Ireland,Türkiye: Black Sea,Türkiye: Mediterranean,Türkiye: unspecified maritime coastal area,Antwerpen,Gent (Ghent),Oostende (Ostend),Zeebrugge,Burgas,Varna,Aabenraa,Aalborg,Aalborg Portland (Cementfabrikken Rordal),Århus,Asnæs Inter Terminal,Asnæsværkets Havn,Avedøreværkets Havn,Ebeltoft,Ensted Inter Terminal,Enstedværkets Havn,Esbjerg,Fredericia (Og Shell-Havnen),Frederikshavn,Frederiskværk Havn (Frederiksværk Stålvalseværk),Gedser,Grenå,Gulfhavnen,Helsingør (Elsinore),Hirtshals,Kalundborg,Københavns Havn,Køge,Kolding,Korsør,Nordjyllandsværkets Havn,Nyborg,Odense,Randers,Rødby (Færgehavn),Rønne,Sjællands Odde,Statoil-Havnen,Stigsnaes Inter Terminal,Stigsnæsværkets Havn,Studstrupværkets Havn,Thyborøn,Vejle,Amrum,Andernach,Anklam,Baltrum,Beidenfleth,Bendorf/Rhein,Bensersiel
2017-01-01,715962,63102,6931,20832,75313,8196,12893,33265,107181,71150,4147,84875,2349,16845,11731,1131,151485,17994,22188,9308,5905,24175,41708,42617,107443,:,104095,61528,13549,325,12,23317,84313,360,164,49000,20375,1130,997,20945,12705,8466,107443,6282,94232,4313,49224,8464,315,5120,4220,2712,434,815,486,2000,214,394,451,:,123,401,929,1787,547,273,509,348,309,1265,399,205,1821,542,336,:,:,:,547,351,2027,352,:,2135,408,329,339,430,:,7,:,:,2,:,7,:
2017-04-01,735344,66078,6729,20283,73656,7874,12485,36419,112395,72567,4569,94586,1979,14646,11735,967,149458,18272,21749,10081,5548,25946,42230,46131,113093,:,110442,59540,13840,394,9,24982,87835,314,181,49366,20944,1473,1235,22184,13373,7031,113093,8185,98541,4531,51235,8796,356,5726,4330,2399,313,730,661,2199,263,518,215,:,73,272,1227,1697,529,260,494,310,227,1255,443,255,1716,485,299,:,:,:,603,264,2099,372,:,2100,136,165,151,501,:,5,:,:,3,:,:,:
2017-07-01,743014,64157,9094,19675,74940,7042,12671,35142,121167,73321,4874,96165,1676,12131,13138,1089,144392,18565,22194,13383,5532,25697,43885,44331,110346,:,112966,61421,13285,372,26,26974,94805,330,179,50594,20476,1373,1334,22805,12125,9334,110346,7537,101605,4542,50245,8112,261,5562,5085,4012,346,812,664,2061,113,351,113,:,:,99,1188,1976,529,244,477,338,185,1186,416,240,1785,471,313,:,:,:,600,290,1953,375,:,2072,93,173,65,561,:,6,:,:,3,:,4,:
2017-10-01,745410,64400,8196,20560,71442,7979,13031,35270,116917,74775,4674,95649,1856,13200,13252,914,147412,21845,20295,12780,5326,27569,44177,46298,106935,:,112400,58014,13178,356,14,26069,91323,383,144,50799,21555,1604,1274,22807,13169,8638,106935,8308,100572,4339,50497,8338,298,5276,5022,3174,454,766,639,2139,33,284,443,:,:,382,1233,1834,557,294,506,419,176,1252,414,231,1684,427,344,:,:,:,585,321,2103,339,:,2193,298,112,229,376,:,5,3,:,3,:,1,:
2018-01-01,734807,66962,5615,20834,72549,7752,12765,35711,113049,74343,4009,88535,1431,13954,12567,2564,152390,22175,20064,10905,5979,25838,42427,41039,104409,485,108771,58761,13848,80,:,24185,89498,298,119,50139,21951,1474,1242,21733,12913,8476,104409,8139,97466,4128,52843,8653,128,5344,3271,2344,306,612,496,2114,101,430,523,:,186,385,943,1851,626,318,531,402,85,1311,468,194,1562,501,354,:,:,:,679,335,2178,358,:,2039,842,117,367,342,:,3,:,:,3,:,:,:
2018-04-01,758432,69354,6112,21022,73151,8285,13256,38042,118169,72276,5111,104572,1850,15693,12240,695,145313,22933,22190,10503,5424,28005,45394,44995,110946,481,109381,59185,13923,115,:,25533,93431,340,126,49765,20360,1250,1242,23491,13228,9070,110946,7174,98422,4694,54467,8662,212,6024,3624,2488,387,816,668,1993,31,394,170,:,135,636,1275,1563,665,332,572,340,80,1389,509,206,1641,466,301,:,:,:,591,336,2393,396,:,2360,343,114,108,504,:,6,:,:,3,:,:,:
2018-07-01,763562,67141,8773,19671,71670,8166,12942,38476,117182,75244,5073,105729,1858,14997,13015,624,149306,21296,21930,14444,5560,27429,43127,44829,110317,455,106404,59110,12484,141,:,25370,92647,320,128,52698,20472,1421,1149,22450,12476,8693,110317,7374,95051,4757,52291,8341,183,6334,5104,3669,510,614,542,2192,1,622,67,:,547,342,1131,1650,640,250,529,358,124,1224,459,182,1652,394,262,:,:,:,634,299,2048,362,:,1890,80,87,153,388,:,8,:,:,3,:,:,:
2018-10-01,767247,66661,7368,20250,75333,8210,13176,37839,119670,75589,5097,100785,1809,16033,14641,676,152524,23975,19933,12535,6164,28210,44419,44585,114326,534,104574,62859,12441,121,:,26723,93638,267,111,52514,20869,1467,1171,22519,12864,9446,114326,7417,94068,3833,52410,8014,125,6184,4663,2705,401,673,577,2197,:,187,400,:,608,505,1101,1833,623,342,540,407,90,1246,460,115,1544,422,332,:,:,:,444,310,2107,406,:,2044,:,251,286,412,:,7,:,:,0,:,:,:
2019-01-01,756020,65728,7141,20515,73539,7864,13114,37081,114403,74643,4170,96353,1980,15909,13320,945,158372,23047,20501,11483,5819,26835,42059,43586,111246,419,108006,60291,13223,99,:,24761,90676,346,113,51247,21029,1248,1312,22803,11892,7721,111246,6619,98484,3554,51251,7876,94,6508,4514,2638,320,634,612,2221,140,124,476,:,491,514,1027,1831,636,321,528,376,44,1300,439,149,1791,422,300,:,:,:,436,333,2154,358,:,1888,489,122,316,278,:,4,:,:,2,:,:,:
2019-04-01,776391,73342,6989,20019,75893,9000,12243,40625,117911,73123,4618,111213,1842,13850,13155,1574,151471,24882,20113,12355,5802,28587,42030,45357,108799,577,114118,61746,14118,103,:,23642,95251,347,119,50385,20499,1242,1339,23023,11543,7781,108799,6923,104711,3227,56650,9179,388,7134,4401,2588,449,947,600,2154,124,141,155,:,313,802,1089,1520,669,366,518,286,163,1314,476,118,1582,440,280,:,:,:,516,294,2210,339,:,1997,111,81,89,409,:,6,:,:,2,:,:,:
2019-07-01,751628,68348,8678,19842,72509,8068,12276,40332,117561,72575,4507,97174,1915,13465,12909,1230,146560,22103,19092,14338,5652,28615,41893,44118,106206,522,112769,59807,12697,103,:,23753,94790,274,117,48750,21518,1200,1330,22209,12912,7376,106206,7943,102200,3326,52996,7935,342,7081,5188,3491,306,797,613,2140,118,64,101,:,929,478,1102,1745,619,222,508,300,240,1198,581,246,1619,397,239,:,:,:,439,276,2011,395,:,1800,179,22,70,407,:,9,:,:,2,:,:,:
2019-10-01,744165,70337,8178,20849,69765,9286,12663,38806,112023,69495,4770,102640,1691,13964,12860,1446,145844,22363,19396,13711,4840,28100,39643,47074,115303,517,118543,56940,12755,128,:,23754,89169,281,116,47638,19402,1329,1315,21506,13276,5295,115303,8931,107293,3034,53133,8346,599,8270,4933,3245,338,617,560,2104,466,640,428,:,695,148,1096,1775,642,300,501,329,317,1240,450,180,1666,377,312,:,:,:,406,265,2020,301,:,2217,81,9,263,436,:,8,:,:,2,:,:,:
2020-01-01,719880,71675,7157,20320,70015,7872,12397,37586,109100,69074,3711,90266,1787,11065,12228,1066,143312,21843,20043,11881,5183,26439,42240,49550,105217,462,119763,56529,13459,109,:,22743,87248,332,101,47249,19380,1275,1345,21439,12779,8377,105217,7847,108758,3809,52864,8171,292,10353,4411,2745,294,588,602,2113,227,396,368,:,695,70,886,1345,616,337,508,340,262,1325,503,208,1618,420,313,:,:,:,414,308,2064,297,:,2277,492,6,225,428,151,4,:,:,2,:,:,:
2020-04-01,677645,63733,5812,19958,64435,9141,10798,36119,100302,62700,5124,93033,1671,9289,11667,774,135300,21042,15638,10752,4635,25870,41468,46717,89562,556,108347,52232,12249,69,:,20113,80905,217,68,42371,18608,933,1000,22828,12603,6485,89562,7375,97794,3899,49225,6743,288,7480,3443,2369,441,923,610,2206,227,312,152,:,334,107,1132,1416,622,269,459,332,415,1237,460,161,1338,463,302,:,:,:,497,285,1858,371,:,1955,409,157,180,543,232,6,:,:,2,:,:,:
