Time,European Union - 27 countries (from 2020),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",Euro area – 20 countries (from 2023),Euro area - 19 countries  (2015-2022),Euro area - 12 countries (2001-2006),Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Bosnia and Herzegovina,Montenegro,North Macedonia,Albania,Serbia,Türkiye,Ukraine,Kosovo*
2015,12308199.5,10616222.3,10661715.4,10616222.3,10386990.6,415538,45797.8,170527.3,272193,3087030,21010.9,272282.9,175362.9,1087112,2201401.6,45487.5,1663277.7,17944.2,23744.3,37440.7,54142.3,112854,10221.4,699175,342083.5,432485.8,179392.7,160289,38493.9,80376.3,210192,452337.2,15960.5,5649.1,349756.7,625532.7,2644716.5,14791.1,3615,9072.3,10339.2,37219.6,777042.3,82203.6,5674.4
2016,12638276.9,10904868.5,10952445.7,10904868.5,10667847.7,428467.1,48752.1,179145.9,282265.1,3195210.0,22189.0,275933.1,174448.2,1122967.0,2231819.2,47573.5,1704856.7,19013.8,24498.2,38820.7,56208.1,116593.5,10864.3,720175.0,355665.6,427658.6,186380.7,167497.1,40013.2,81621.6,215717.0,463918.8,19067.0,5637.7,335396.5,621765.1,2434119.2,15474.3,3936.6,9656.5,10835.1,38164.7,785618.9,84254.1,6037.3
2017,13169374.7,11318040.7,11368248.0,11318040.7,11064998.9,443407.2,52501.8,196738.7,294355.0,3333110.0,24316.1,308366.0,177378.5,1170024.0,2291680.5,50204.3,1744493.0,20312.4,26017.1,42274.6,58168.8,127222.5,12535.7,750861.0,367294.9,469071.2,195509.1,186399.2,42625.5,84960.4,224706.0,474838.2,22211.8,5734.6,356288.5,615776.3,2359789.9,16260.5,4252.5,10038.3,11770.8,40828.4,760497.1,99198.6,6356.5
2018,13630198.9,11694023.9,11747059.4,11694023.9,11422259.9,459491.8,56000.6,213505.4,301017.3,3434030.0,26438.5,335136.0,180615.7,1212276.0,2355362.8,53035.3,1777744.4,21807.8,28153.4,45947.4,60193.4,136580.0,13678.6,787273.0,383234.3,503951.0,204997.6,204780.7,45462.4,90275.9,231905.0,465753.3,22591.2,5666.3,372657.6,614304.4,2420897.2,17354.2,4600.9,10744.0,13016.9,44710.6,658963.4,110834.0,6671.5
2019,14124312.9,12084516.3,12140284.9,12084516.3,11796539.0,479444.9,61195.4,229406.7,308546.2,3537280.0,28472.1,363752.6,185181.2,1253710.0,2432206.8,55767.8,1804066.8,23400.9,29567.0,49239.2,62415.0,147373.2,14594.2,829767.0,395706.8,538423.5,214489.9,223341.4,48156.5,94547.5,238518.0,474202.9,22315.1,5750.1,365130.5,644443.2,2526615.2,18296.5,4898.4,11262.0,13917.9,48104.5,679135.8,137528.0,7056.2
2020,13580111,11565084.6,11615805.4,11565084.6,11279941,463750.9,61856.5,220310.6,312118.3,3450720,27859.3,381728.7,167539.5,1129214,2318276.2,50717.8,1670011.9,22373.6,29224.3,50264.6,64499.2,138954.5,14362.4,816463,380317.9,531827.4,201032.7,219839.8,46738.7,94320.6,236387,478106.9,19302.5,5618,322823.8,650742.6,:,17755.9,4144.8,10851.7,13379.5,49024.2,626785.3,136595.3,6771.6
2021,14793613.1,12560322.4,12618716.6,12560322.4,12243569.9,506047.2,71345,246012.3,343318.6,3682340,31453.3,448445.1,184574.6,1235474,2508102.3,58390.4,1842507.4,25679.9,32283.8,56709.1,73039.5,154971.7,16689.9,891550,406231.5,583001.4,216493.7,240986.6,52032.4,101933.5,248764,533953.6,22188.1,6688.5,425445.6,689174.9,:,20014.7,4923.2,11834.7,15243.1,55931.3,690246,168960.3,7957.9
2022,16171115.6,13690158.6,13757770.1,13690158.6,13336022.6,561309.1,86079.5,286976.8,380567.4,3989390,36300.9,520718.4,207008.7,1375863,2653997.2,67609.4,1998072.6,29377.2,36088.7,67081.1,76731.2,168546.2,17974.7,993820,449382.2,661712.3,243957.1,280777.4,56881.6,110046.4,266135,547190.4,27738.9,7011.9,567468.3,787386.5,:,23324.1,5944.4,13243.2,18068.1,63501.1,862309.6,154006.3,8895.7
2023,17235040.7,14637679.7,14637679.7,14559619.2,14167966.2,602376.3,94526.6,319099.1,374173.6,4219310,38353.4,524728.8,224686.2,1497761,2826541.5,79186.3,2142601.7,31340,39564.2,74317,82115.5,197178.7,20911.2,1050133,477837.3,751931.7,270352.6,321577.9,64050,123833.2,272848,535176.8,29301.6,7661,446533.8,826951.8,:,25523.8,7068.8,14667.4,21730.5,75204,1030513.6,167632,9680.1
2024,17980744.7,15200153.3,15200153.3,15114543.5,14701035.7,620271.8,103723,320741.7,392400.7,4328970,39847.7,562794.2,236736,1594330,2919899.9,85905.2,2199619.4,33567.7,40359.4,78996.2,86180.3,206040.1,23071,1122459,494087.6,848490.9,289428,353633.1,67418.1,130985.1,275963,558044.4,30726.8,:,446866.1,865619.7,:,26194.8,7644.5,15672,25000.7,82320.6,1220308.3,:,10350.4
