Time,European Union - 27 countries (from 2020),Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,North Macedonia,Serbia,Türkiye,United States
2017-04,1.8,2.7,1.7,2.1,1.0,2.0,3.6,0.7,1.6,2.6,1.4,1.4,2.0,2.1,3.3,3.5,2.6,2.3,1.1,1.4,2.3,1.8,2.4,0.6,1.7,0.8,1.0,2.0,1.6,4.3,11.8,1.8
2017-05,1.4,1.9,1.4,2.5,0.7,1.3,3.5,0.0,1.5,2.0,0.9,1.0,1.6,0.9,2.7,3.2,1.9,2.1,1.1,0.7,2.1,1.5,1.7,0.5,1.5,1.1,0.9,1.8,2.2,3.8,11.8,1.4
2017-06,1.3,1.5,1.1,2.4,0.4,1.7,3.1,-0.6,0.9,1.6,0.8,1.1,1.2,0.9,3.1,3.5,1.5,2.0,1.0,1.0,2.0,1.3,1.0,0.7,0.9,1.0,0.9,1.8,2.6,3.9,11.2,1.1
2017-07,1.4,1.8,0.6,2.4,1.5,1.7,3.9,-0.2,0.9,1.7,0.8,1.2,1.2,-0.1,2.6,4.1,1.8,2.2,1.2,1.5,2.0,1.4,1.0,0.9,1.2,1.5,0.6,2.3,2.1,3.4,10.0,1.3
2017-08,1.6,2.0,0.7,2.4,1.5,1.9,4.2,0.4,0.6,2.0,1.0,1.5,1.4,0.5,3.2,4.6,2.3,2.7,1.2,1.5,2.1,1.4,1.3,0.6,1.4,1.6,0.8,2.2,2.5,2.6,10.7,1.5
2017-09,1.6,2.0,1.3,2.5,1.6,1.9,3.9,0.2,1.0,1.8,1.1,1.6,1.3,0.1,3.0,4.6,2.0,2.5,1.2,1.4,2.5,1.6,1.6,1.3,1.4,1.8,0.8,2.2,2.4,3.3,11.1,1.9
2017-10,1.5,1.8,1.5,2.8,1.4,1.5,4.0,0.5,0.5,1.7,1.2,1.6,1.1,0.4,2.7,4.2,2.0,2.2,1.5,1.3,2.4,1.6,1.9,2.0,1.3,1.8,0.5,1.7,2.7,2.8,11.7,1.7
2017-11,1.6,2.1,1.9,2.5,1.3,1.7,4.5,0.5,1.1,1.8,1.2,1.6,1.1,0.2,2.7,4.2,2.0,2.6,1.5,1.5,2.4,2.0,1.8,2.6,1.4,2.1,0.9,1.9,3.2,2.8,13.0,1.9
2017-12,1.4,2.1,1.8,2.2,0.8,1.5,3.8,0.5,1.0,1.2,1.2,1.3,1.0,-0.4,2.2,3.8,1.6,2.2,1.3,1.2,2.3,1.7,1.6,2.6,1.9,2.0,0.5,1.7,3.5,3.0,11.9,1.8
2018-01,1.4,1.8,1.3,2.1,0.6,1.5,3.6,0.3,0.2,0.7,1.5,1.2,1.2,-1.5,2.0,3.6,1.3,2.1,1.2,1.5,1.9,1.6,1.1,3.4,1.7,2.6,0.8,1.6,2.1,2.0,10.4,1.7
2018-02,1.2,1.5,1.5,1.6,0.5,1.2,3.2,0.7,0.4,1.2,1.3,0.9,0.5,-0.4,1.8,3.2,1.1,1.9,1.3,1.3,1.9,0.7,0.7,3.8,1.4,2.2,0.6,1.6,3.0,1.6,10.3,1.9
2018-03,1.4,1.5,1.9,1.6,0.4,1.7,2.9,0.5,0.2,1.3,1.7,1.2,0.9,-0.4,2.3,2.5,1.1,2.0,1.3,1.0,2.0,0.7,0.8,4.0,1.5,2.5,0.9,2.0,2.6,1.4,10.2,2.1
2018-04,1.3,1.6,1.7,1.8,0.7,1.3,2.9,-0.1,0.5,1.1,1.8,1.4,0.6,-0.3,2.1,2.2,1.3,2.4,1.4,1.0,2.0,0.9,0.3,4.3,1.9,3.0,0.8,1.8,2.3,1.0,10.9,2.2
2018-05,2,2.3,2.3,2.0,1.0,2.5,3.1,0.7,0.8,2.1,2.3,1.8,1.0,1.0,2.4,2.9,2.1,2.9,1.7,1.9,2.1,1.2,1.4,4.6,2.2,2.7,1.0,2.0,2.7,2.2,12.1,2.6
2018-06,2,2.6,3.0,2.4,1.1,2.1,3.9,0.7,1.0,2.3,2.3,2.2,1.4,1.7,2.7,2.6,2.4,3.2,2.0,1.7,2.3,1.4,2.0,4.7,2.3,2.9,1.2,2.1,2.0,2.5,15.4,2.7
2018-07,2.2,2.7,3.6,2.2,0.9,2.2,3.3,1.0,0.8,2.3,2.6,2.2,1.9,1.4,2.7,2.3,2.5,3.4,2.1,1.9,2.3,1.4,2.2,4.3,2.1,2.6,1.4,2.2,2.3,2.4,15.9,2.8
