"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2025","570.34","567.78","570.66","567.34","","0.45%"
"10/15/2025","567.77","566.32","569.21","566.32","","0.57%"
"10/14/2025","564.54","564.83","564.83","560.31","","-0.37%"
"10/13/2025","566.63","564.81","567.95","564.41","","0.44%"
"10/10/2025","564.16","570.88","572.13","564.03","","-1.25%"
"10/09/2025","571.31","573.13","573.89","571.31","","-0.43%"
"10/08/2025","573.79","569.24","574.32","569.24","","0.79%"
"10/07/2025","569.27","570.35","571.62","568.97","","-0.17%"
"10/06/2025","570.24","570.87","571.67","567.85","","-0.04%"
"10/03/2025","570.45","568.63","570.57","568.63","","0.50%"
"10/02/2025","567.60","566.83","569.88","566.83","","0.53%"
"10/01/2025","564.62","557.65","565.09","557.65","","1.15%"
"09/30/2025","558.18","555.32","558.21","553.32","","0.48%"
"09/29/2025","555.53","555.69","557.12","554.49","","0.18%"
"09/26/2025","554.52","550.63","555.15","550.63","","0.78%"
"09/25/2025","550.22","553.60","553.60","549.24","","-0.66%"
"09/24/2025","553.88","554.85","555.18","551.68","","-0.19%"
"09/23/2025","554.95","553.80","557.26","553.80","","0.28%"
"09/22/2025","553.40","554.39","554.39","552.03","","-0.13%"
"09/19/2025","554.12","555.03","556.82","554.12","","-0.16%"
"09/18/2025","555.01","551.70","555.78","551.70","","0.80%"
"09/17/2025","550.63","551.49","552.38","550.17","","-0.03%"
"09/16/2025","550.79","557.17","557.56","550.66","","-1.14%"
"09/15/2025","557.16","555.98","558.66","555.98","","0.42%"
"09/12/2025","554.84","555.39","556.50","553.45","","-0.09%"
"09/11/2025","555.33","552.62","555.87","552.52","","0.55%"
"09/10/2025","552.29","553.83","555.66","551.88","","-0.02%"
"09/09/2025","552.39","552.55","554.05","551.08","","0.06%"
"09/08/2025","552.04","550.26","552.60","550.08","","0.52%"
"09/05/2025","549.21","550.90","552.69","548.06","","-0.16%"
"09/04/2025","550.09","546.88","550.48","546.48","","0.61%"
"09/03/2025","546.78","544.56","547.53","543.60","","0.66%"
"09/02/2025","543.17","551.20","551.20","543.17","","-1.50%"
"09/01/2025","551.43","550.46","552.57","550.40","","0.23%"
"08/29/2025","550.14","552.81","553.45","549.98","","-0.64%"
"08/28/2025","553.67","555.12","556.79","552.65","","-0.20%"
"08/27/2025","554.76","554.90","556.24","553.35","","0.10%"
"08/26/2025","554.20","557.29","557.29","553.37","","-0.83%"
"08/25/2025","558.82","560.83","561.12","558.68","","-0.44%"
"08/22/2025","561.30","558.75","563.28","558.21","","0.40%"
"08/21/2025","559.07","559.11","559.30","556.46","","0.00%"
"08/20/2025","559.09","557.36","559.82","555.74","","0.23%"
"08/19/2025","557.81","554.34","558.22","554.34","","0.69%"
"08/18/2025","554.01","554.06","554.58","552.19","","0.08%"
"08/15/2025","553.56","554.48","556.41","553.09","","-0.06%"
"08/14/2025","553.87","551.11","553.87","551.11","","0.55%"
"08/13/2025","550.85","548.68","551.23","548.68","","0.54%"
"08/12/2025","547.89","547.76","548.89","546.09","","0.21%"
"08/11/2025","546.76","548.19","549.20","546.21","","-0.06%"
"08/08/2025","547.08","546.46","548.23","546.01","","0.19%"
"08/07/2025","546.05","540.53","547.40","540.53","","0.92%"
"08/06/2025","541.07","542.30","543.65","540.19","","-0.06%"
"08/05/2025","541.40","541.75","543.64","540.74","","0.15%"
"08/04/2025","540.60","536.44","540.61","535.97","","0.90%"
"08/01/2025","535.79","544.13","544.13","534.23","","-1.89%"
"07/31/2025","546.11","550.92","552.95","545.94","","-0.75%"
"07/30/2025","550.24","550.08","551.48","548.75","","-0.02%"
"07/29/2025","550.36","549.42","554.22","549.42","","0.29%"
"07/28/2025","548.76","552.56","555.04","548.13","","-0.22%"
"07/25/2025","549.95","550.68","550.68","548.01","","-0.29%"
"07/24/2025","551.55","551.60","554.04","550.57","","0.24%"
"07/23/2025","550.22","546.37","551.27","546.37","","1.08%"
"07/22/2025","544.34","545.78","545.78","542.73","","-0.41%"
"07/21/2025","546.58","547.24","547.53","544.75","","-0.08%"
"07/18/2025","547.00","547.89","549.54","546.41","","-0.01%"
"07/17/2025","547.03","544.51","547.22","544.51","","0.96%"
"07/16/2025","541.84","543.61","545.66","541.83","","-0.57%"
"07/15/2025","544.95","547.20","548.98","544.79","","-0.37%"
"07/14/2025","546.99","545.34","546.99","544.16","","-0.06%"
"07/11/2025","547.34","551.87","551.87","546.64","","-1.01%"
"07/10/2025","552.93","550.79","553.49","550.79","","0.54%"
"07/09/2025","549.96","546.45","550.73","546.05","","0.78%"
"07/08/2025","545.71","543.64","545.79","542.22","","0.41%"
"07/07/2025","543.50","541.02","543.66","540.74","","0.44%"
"07/04/2025","541.13","542.46","542.46","538.82","","-0.48%"
"07/03/2025","543.76","542.21","543.76","541.35","","0.47%"
"07/02/2025","541.21","541.47","543.49","538.84","","0.18%"
"07/01/2025","540.25","541.84","542.57","537.44","","-0.21%"
"06/30/2025","541.37","544.55","544.95","540.87","","-0.42%"
"06/27/2025","543.63","539.51","543.63","539.51","","1.14%"
"06/26/2025","537.48","537.49","539.05","536.10","","0.09%"
"06/25/2025","536.98","541.66","543.14","536.88","","-0.74%"
"06/24/2025","540.98","537.86","543.20","537.86","","1.11%"
"06/23/2025","535.03","535.57","537.41","532.34","","-0.28%"
"06/20/2025","536.53","536.57","540.46","536.26","","0.13%"
"06/19/2025","535.86","538.73","538.86","535.86","","-0.83%"
"06/18/2025","540.33","541.84","542.61","539.32","","-0.36%"
"06/17/2025","542.26","544.76","544.76","540.61","","-0.85%"
"06/16/2025","546.91","544.93","547.80","544.87","","0.36%"
"06/13/2025","544.94","547.49","547.49","543.50","","-0.89%"
"06/12/2025","549.84","550.43","551.25","546.22","","-0.33%"
"06/11/2025","551.64","552.91","554.22","551.64","","-0.27%"
"06/10/2025","553.12","553.00","554.09","551.47","","-0.02%"
"06/09/2025","553.24","553.49","554.06","551.94","","-0.07%"
"06/06/2025","553.64","551.63","554.21","551.37","","0.32%"
"06/05/2025","551.88","551.10","553.78","549.29","","0.16%"
"06/04/2025","551.02","549.63","552.37","549.52","","0.47%"
"06/03/2025","548.44","548.54","549.51","545.16","","0.09%"
"06/02/2025","547.92","547.35","548.59","544.36","","-0.14%"
"05/30/2025","548.67","547.81","551.54","547.30","","0.14%"
"05/29/2025","547.88","550.27","551.85","547.66","","-0.19%"
"05/28/2025","548.93","552.19","553.39","548.93","","-0.61%"
"05/27/2025","552.32","550.45","554.17","550.45","","0.33%"
"05/26/2025","550.50","547.22","550.87","547.22","","0.99%"
"05/23/2025","545.13","550.36","552.22","537.39","","-0.93%"
"05/22/2025","550.27","552.56","552.56","546.99","","-0.64%"
"05/21/2025","553.82","553.77","554.23","550.26","","-0.04%"
