Time,Debts_Rate
2018-10-01,105.04941
2019-01-01,104.34017
2019-04-01,102.92245
2019-07-01,104.61492
2019-10-01,105.78193
2020-01-01,106.77007
2020-04-01,132.66287
2020-07-01,124.14692
2020-10-01,125.62864
2021-01-01,124.03752
2021-04-01,121.78582
2021-07-01,118.54086
2021-10-01,119.35880
2022-01-01,120.39819
2022-04-01,118.20207
2022-07-01,117.43832
2022-10-01,117.36678
2023-01-01,115.58614
2023-04-01,117.44355
2023-07-01,118.13897
2023-10-01,119.61944
2024-01-01,120.47631
2024-04-01,119.50314
2024-07-01,120.17172
2024-10-01,121.43633
2025-01-01,120.54515
2025-04-01,118.78171
